mysql> SELECT ice_hockey_action_participants.person_id, ice_hockey_action_participants.participant_role, ice_hockey_action_plays.score_attempt_type, ice_hockey_event_states.period_time_remaining FROM ice_hockey_event_states JOIN ice_hockey_action_plays ON ice_hockey_event_states.id = ice_hockey_action_plays.ice_hockey_event_state_id JOIN ice_hockey_action_participants ON ice_hockey_action_plays.id = ice_hockey_action_participants.ice_hockey_action_play_id;
+-----------+------------------+--------------------+-----------------------+
| person_id | participant_role | score_attempt_type | period_time_remaining |
+-----------+------------------+--------------------+-----------------------+
|      1817 | goal             | power-play         | 7:54                  |
|      1818 | assist           | power-play         | 7:54                  |
|      1819 | assist           | power-play         | 7:54                  |
|      1820 | goal             | regular            | 18:12                 |
|      1821 | assist           | regular            | 18:12                 |
|      1822 | assist           | regular            | 18:12                 |
|      1823 | goal             | regular            | 11:40                 |
|      1824 | assist           | regular            | 11:40                 |
|      1825 | goal             | regular            | 14:30                 |
|      1826 | assist           | regular            | 14:30                 |
|      1827 | assist           | regular            | 14:30                 |
|      1828 | goal             | regular            | 2:41                  |
|      1829 | assist           | regular            | 2:41                  |
|      1830 | assist           | regular            | 2:41                  |
|      1862 | goal             | power-play         | 8:47                  |
|      1863 | assist           | power-play         | 8:47                  |
|      1864 | assist           | power-play         | 8:47                  |
|      1865 | goal             | regular            | 15:02                 |
|      1866 | assist           | regular            | 15:02                 |
|      1867 | assist           | regular            | 15:02                 |
|      1868 | goal             | regular            | 11:06                 |
|      1869 | assist           | regular            | 11:06                 |
|      1870 | assist           | regular            | 11:06                 |
|      1871 | goal             | regular            | 17:31                 |
|      1872 | assist           | regular            | 17:31                 |
|      1873 | assist           | regular            | 17:31                 |
|      1874 | goal             | power-play         | 6:41                  |
|      1875 | assist           | power-play         | 6:41                  |
|      1876 | assist           | power-play         | 6:41                  |
|      1877 | goal             | power-play         | 1:52                  |
|      1878 | assist           | power-play         | 1:52                  |
|      1879 | assist           | power-play         | 1:52                  |
|      1880 | goal             | empty-net          | 0:25                  |
|      1924 | goal             | power-play         | 17:39                 |
|      1925 | assist           | power-play         | 17:39                 |
|      1926 | assist           | power-play         | 17:39                 |
|      1927 | goal             | regular            | 14:32                 |
|      1928 | assist           | regular            | 14:32                 |
|      1929 | goal             | regular            | 9:22                  |
|      1930 | assist           | regular            | 9:22                  |
|      1931 | assist           | regular            | 9:22                  |
|      1932 | goal             | regular            | 6:23                  |
|      1933 | assist           | regular            | 6:23                  |
|      2197 | assist           | regular            | 9:40                  |
|      2196 | assist           | regular            | 9:40                  |
|      2195 | goal             | regular            | 9:40                  |
|      2199 | assist           | short-handed       | 8:06                  |
|      2198 | goal             | short-handed       | 8:06                  |
|      2202 | assist           | power-play         | 4:06                  |
|      2201 | assist           | power-play         | 4:06                  |
|      2200 | goal             | power-play         | 4:06                  |
|      2205 | assist           | regular            | 18:44                 |
|      2204 | assist           | regular            | 18:44                 |
|      2203 | goal             | regular            | 18:44                 |
|      2208 | assist           | power-play         | 14:54                 |
|      2207 | assist           | power-play         | 14:54                 |
|      2206 | goal             | power-play         | 14:54                 |
|      2211 | assist           | power-play         | 6:35                  |
|      2210 | assist           | power-play         | 6:35                  |
|      2209 | goal             | power-play         | 6:35                  |
|      2214 | assist           | regular            | 0:10                  |
|      2213 | assist           | regular            | 0:10                  |
|      2212 | goal             | regular            | 0:10                  |
|      1972 | goal             | power-play         | 18:42                 |
|      1973 | assist           | power-play         | 18:42                 |
|      1974 | assist           | power-play         | 18:42                 |
|      1975 | goal             | regular            | 3:14                  |
|      1976 | assist           | regular            | 3:14                  |
|      1977 | assist           | regular            | 3:14                  |
|      1978 | goal             | power-play         | 17:27                 |
|      1979 | assist           | power-play         | 17:27                 |
|      1980 | assist           | power-play         | 17:27                 |
|      1981 | goal             | regular            | 13:56                 |
|      1982 | assist           | regular            | 13:56                 |
|      1983 | assist           | regular            | 13:56                 |
|      1984 | goal             | power-play         | 1:34                  |
|      1985 | assist           | power-play         | 1:34                  |
|      2169 | assist           | regular            | 15:25                 |
|      2168 | assist           | regular            | 15:25                 |
|      2167 | goal             | regular            | 15:25                 |
|      2172 | assist           | regular            | 4:16                  |
|      2171 | assist           | regular            | 4:16                  |
|      2170 | goal             | regular            | 4:16                  |
|      2174 | assist           | short-handed       | 12:19                 |
|      2173 | goal             | short-handed       | 12:19                 |
|      2177 | assist           | regular            | 5:20                  |
|      2176 | assist           | regular            | 5:20                  |
|      2175 | goal             | regular            | 5:20                  |
|      2179 | assist           | short-handed       | 2:21                  |
|      2178 | goal             | short-handed       | 2:21                  |
|      2137 | goal             | regular            | 13:59                 |
|      2134 | assist           | regular            | 13:59                 |
|      2138 | assist           | regular            | 13:59                 |
|      2139 | goal             | regular            | 13:26                 |
